[2025-06-22 18:15:42]   54 | INFO     | Test data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\test.csv
[2025-06-22 18:15:42]   56 | INFO     | Data Ingestion completed successfully.
[2025-06-22 18:15:42]   70 | INFO     | Data Ingestion Pipeline completed.
[2025-06-22 18:15:42]   19 | INFO     | Data ingestion completed.
[2025-06-22 18:15:42]   21 | INFO     | Starting data transformation...
[2025-06-22 18:15:42]  156 | INFO     | Starting full data transformation process...
[2025-06-22 18:15:42]  159 | DEBUG    | Train shape: (36467, 20), Test shape: (9117, 20)
[2025-06-22 18:15:42]  147 | INFO     | Creating feature engineering pipeline...
[2025-06-22 18:15:42]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:15:42]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:15:42]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:15:42]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:15:42]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:15:42]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:15:42]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:15:42]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:15:42]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:15:42]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:15:42]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:15:42]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:15:42]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:15:42]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:15:42]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:15:42]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:15:42]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:15:42]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:15:42]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:15:42]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:15:42]  104 | INFO     | Creating data transformation pipeline...
[2025-06-22 18:15:42]  113 | DEBUG    | Defined column groups. Ordinal: ['Weather_conditions', 'Road_traffic_density'], Numerical: ['Delivery_person_Age', 'Delivery_person_Ratings', 'Vehicle_condition', 'multiple_deliveries', 'distance'], Categorical: ['Type_of_order', 'Type_of_vehicle', 'Festival', 'City', 'Delivery_person_City']
[2025-06-22 18:15:42]  138 | INFO     | Data transformation pipelines created successfully.
[2025-06-22 18:15:42]  173 | DEBUG    | Fitting and transforming training data...
[2025-06-22 18:15:42]  175 | DEBUG    | Transforming testing data...
[2025-06-22 18:15:44]  190 | INFO     | Data transformation pipeline completed and artifacts saved.
[2025-06-22 18:15:44]   25 | INFO     | Data transformation completed.
[2025-06-22 18:15:44]   27 | INFO     | Starting model training...
[2025-06-22 18:15:44]   29 | INFO     | Starting model training process...
